Domain,Phylum,Class,Order,Family,Genus,Species,Species Formatted
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,peptacetobacter,[Clostridium] hiranonis DSM 13275,Clostridium]_hiranonis_DSM_13275
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile 70-100-2010,Peptoclostridium_difficile_70-100-2010
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile NAP08,Peptoclostridium_difficile_NAP08
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile NAP07,Peptoclostridium_difficile_NAP07
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens 16/4,Butyrivibrio_fibrisolvens_16-4
Bacteria,Firmicutes,Clostridia,Eubacteriales,unclassified eubacteriales,NA,Clostridiales butyrate-producing bacterium SSC-2,Clostridiales_butyrate-producing_bacterium_SSC-2
Bacteria,Firmicutes,Clostridia,Eubacteriales,unclassified eubacteriales,NA,Clostridiales butyrate-producing bacterium SS3/4,Clostridiales_butyrate-producing_bacterium_SS3-4
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,[Clostridium] cf. saccharolyticum K10,Clostridium]_cf._saccharolyticum_K10
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii L2-6,Faecalibacterium_prausnitzii_L2-6
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii SL3/3,Faecalibacterium_prausnitzii_SL3-3
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis M50/1,Roseburia_intestinalis_M50-1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia inulinivorans DSM 16841,Roseburia_inulinivorans_DSM_16841
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum WAL-14673,Clostridium]_symbiosum_WAL-14673
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum WAL-14163,Clostridium]_symbiosum_WAL-14163
